Player,ADP,Position
Austin Trammell,627.0,WR
Shane Zylstra,629.0,TE
Trent Sherfield Sr.,629.5,WR
John FitzPatrick,630.0,TE
Rondale Moore,630.5,WR
Michael Woods,631.0,WR
Montrell Washington,632.0,WR
Treylon Burks,633.0,WR
Nick Muse,635.0,TE
Pierre Strong Jr.,636.0,RB
Bailey Zappe,637.0,QB
Zonovan Knight,638.0,RB
Britain Covey,639.0,WR
Bo Melton,640.0,WR
Justyn Ross,642.0,WR
Kendric Pryor,643.0,WR
Baylor Cupp,644.0,TE
Kaden Davis,644.0,WR
Brandon Johnson,645.0,WR
Seth Green,646.0,TE
Braylon Sanders,647.0,WR
Lucas Krull,648.0,TE
Jashaun Corbin,649.0,RB
Ronnie Rivers,650.0,RB
Tucker Fisk,651.0,TE
Isaiah Williams,652.0,WR
Jalen Brooks,653.0,WR
Sean Clifford,654.0,QB
Evan Hull,655.0,RB
Zach Evans,657.0,RB
Dresser Winn,658.0,QB
Xavier Smith,659.0,WR
D.J. Williams,660.0,RB
Jake Haener,660.0,QB
DJ Uiagalelei,662.0,QB
Ronnie Bell,664.0,WR
Brayden Willis,665.0,TE
Andre Szmyt,667.0,K
Malik Heath,668.0,WR
Zavier Scott,669.0,WR
Xavier Gipson,670.0,WR
Nikko Remigio,673.0,WR
Carlos Washington Jr.,674.0,RB
Shedrick Jackson,675.0,WR
Jalen Cropper,676.0,WR
Tyrone Broden,679.0,WR
Blake Whiteheart,680.0,TE
Thayer Thomas,681.0,WR
Johnny Lumpkin,682.0,TE
Tyrell Shavers,683.0,WR
Rakim Jarrett,684.0,WR
Kazmeir Allen,685.0,WR
Jase McClellan,686.0,RB
Casey Washington,687.0,WR
Devin Leary,688.0,QB
LeQuint Allen Jr.,689.5,RB
Tanner McLachlan,691.0,TE
Jawhar Jordan,692.0,RB
Keilan Robinson,693.0,RB
Dylan Laube,696.0,RB
Tahj Washington,697.0,WR
Javon Baker,698.0,WR
Dante Miller,700.0,RB
Malachi Corley,701.0,WR
Tip Reiman,703.0,TE
Devin Culp,704.0,TE
McCallan Castles,705.0,TE
Emani Bailey,706.0,RB
Austin Reed,707.0,QB
Mason Tipton,708.0,WR
David Martin-Robinson,709.0,TE
Bryce Oliver,710.0,WR
Tanner Mordecai,711.0,QB
Mason Pline,712.0,TE
Cody Schrader,713.0,RB
Sam Hartman,714.0,QB
Colson Yankoff,715.0,TE
Drake Stoops,716.0,WR
Geor'Quarius Spivey,717.0,TE
Alex Hale,718.0,K
Jahmal Banks,719.0,WR
Xavier Guillory,720.0,WR
Marcus Major Jr.,721.0,RB
Kayron Lynch-Adams,722.0,RB
Jahdae Walker,723.0,WR
Luke Floriea,724.0,WR
Rivaldo Fairweather,725.0,TE
Traeshon Holden,726.0,WR
Courtney Jackson,727.0,WR
Caleb Lohner,728.0,TE
Graham Mertz,733.0,QB
Maddux Trujillo,734.0,K
Ja'Quinden Jackson,735.0,RB
Elijhah Badger,736.0,WR
Jake Briningstool,737.0,TE
Elijah Young,738.0,RB
Tru Edwards,739.0,WR
Konata Mumpfield,740.0,WR
Silas Bolden,743.0,WR
Max Brosmer,744.0,QB
Ben Yurosek,745.0,TE
Brock Lampe,747.0,RB
Gee Scott Jr.,748.0,TE
Moochie Dixon,749.0,WR
Chris Tyree,750.0,RB
Marcus Yarns,751.0,RB
Dalen Cambre,752.0,WR
Beaux Collins,753.0,WR
Thomas Fidone II,754.0,TE
Brady Cook,755.0,QB
Arian Smith,757.0,WR
Nick Vannett,759.0,TE
Gerald Everett,760.0,TE
Robert Tonyan,761.0,TE
Mike White,763.0,QB
Cedrick Wilson Jr.,764.0,WR
Deon Cain,766.0,WR
Russell Gage Jr.,768.0,WR
John Wolford,770.0,QB
Will Grier,771.0,QB
Tyree Jackson,772.0,TE
Andrew Beck,773.0,TE
David Sills,775.0,WR
Matt Sokol,776.0,TE
Alex Bachman,777.0,WR
Collin Johnson,778.0,WR
Chase Claypool,780.0,WR
Salvon Ahmed,781.0,RB
Marquez Callaway,782.0,WR
Dominique Dafney,783.0,TE
Chris Blair,784.0,WR
Seth Williams,785.0,WR
Hunter Long,786.0,TE
Kene Nwangwu,787.0,RB
Dee Eskridge,790.0,WR
Feleipe Franks,791.0,QB
Michael Bandy,792.0,WR
Michael Jacobson,793.0,TE
Velus Jones Jr.,794.0,WR
Jake Tonges,795.0,TE
Greg Dulcich,796.0,TE
Samori Toure,797.0,WR
Teagan Quitoriano,798.0,TE
Jelani Woods,799.0,TE
Erik Ezukanma,800.0,WR
Irvin Charles,801.0,WR
Chris Oladokun,803.0,QB
Dareke Young,804.0,WR
Ko Kieft,805.0,TE
Zaire Mitchell-Paden,806.0,TE
Jalen Virgil,807.0,WR
Tanner Conner,808.0,TE
Lew Nichols III,810.0,RB
Ontaria Wilson,811.0,WR
Tanner Taula,812.0,TE
Jaden Smith,813.0,WR
Michael Pratt,814.0,QB
Jha'Quan Jackson,815.0,WR
Anthony Gould,816.0,WR
Brenden Rice,818.0,WR
Chris Collier,819.0,RB
Dayton Wade,820.0,WR
Messiah Swinson,821.0,TE
Julian Hicks,822.0,WR
JaQuae Jackson,824.0,WR
Xavier Johnson,825.0,WR
Jack Plummer,826.0,QB
Brenden Bates,827.0,TE
Ian Wheeler,828.0,RB
Cole Burgess,829.0,WR
